 Aquifer-scale variables for |-- Written with dupuitflow (0.0.1.dev2) on: 2022-04-08_13-0
         Time    Average H            Q          Kup            P
   0.0000E+00   4.9055E+00   7.5007E+03   1.0631E+04   9.3427E+03
   1.0000E+00   4.9400E+00   1.1415E+00   1.6911E+00   4.8624E-01
   2.0000E+00   4.8889E+00   6.6534E-01   1.1904E+00   4.6216E-02
   3.0000E+00   4.8585E+00   4.3232E-01   9.3273E-01  -1.8024E-01
   4.0000E+00   4.8398E+00   2.8126E-01   7.4048E-01  -3.4921E-01
   5.0000E+00   4.8293E+00   1.6992E-01   5.5842E-01  -5.0921E-01
   6.0000E+00   4.8250E+00   8.1410E-02   3.4649E-01  -6.9547E-01
   7.0000E+00   4.8257E+00   6.8813E-03   4.0321E-02  -9.6456E-01
   8.0000E+00   4.8307E+00  -5.7082E-02  -5.1582E-01  -1.4533E+00
   9.0000E+00   4.8394E+00  -1.1445E-01  -2.1027E+00  -2.8480E+00
   1.0000E+01   4.8957E+00  -2.9869E-02  -6.5324E-01  -1.5741E+00
   1.1000E+01   4.9143E+00  -1.4418E-01   2.1765E+02   1.9028E+02
   1.2000E+01   4.9284E+00  -2.0736E-01   4.0179E+00   2.5313E+00
   1.3000E+01   4.9459E+00  -2.5855E-01   2.6087E+00   1.2928E+00
   1.4000E+01   4.9663E+00  -3.0411E-01   2.1164E+00   8.6007E-01
   1.5000E+01   4.9893E+00  -3.4552E-01   1.8610E+00   6.3562E-01
   1.6000E+01   5.0148E+00  -3.8417E-01   1.7055E+00   4.9896E-01
   1.7000E+01   5.0424E+00  -4.2031E-01   1.6004E+00   4.0657E-01
   1.8000E+01   5.0720E+00  -4.5430E-01   1.5247E+00   3.4001E-01
   1.9000E+01   5.1036E+00  -4.8636E-01   1.4677E+00   2.8989E-01
   2.0000E+01   5.1370E+00  -5.1668E-01   1.4233E+00   2.5087E-01
   2.1000E+01   5.1645E+00  -3.6720E-01   1.0946E+00  -3.7982E-02
   2.2000E+01   5.1875E+00  -3.1948E-01   1.0223E+00  -1.0154E-01
   2.3000E+01   5.2079E+00  -2.8752E-01   9.8438E-01  -1.3485E-01
   2.4000E+01   5.2265E+00  -2.6312E-01   9.6205E-01  -1.5447E-01
   2.5000E+01   5.2436E+00  -2.4312E-01   9.4834E-01  -1.6653E-01
   2.6000E+01   5.2595E+00  -2.2600E-01   9.3978E-01  -1.7405E-01
   2.7000E+01   5.2743E+00  -2.1087E-01   9.3440E-01  -1.7877E-01
   2.8000E+01   5.2882E+00  -1.9722E-01   9.3102E-01  -1.8174E-01
   2.9000E+01   5.3011E+00  -1.8473E-01   9.2890E-01  -1.8361E-01
   3.0000E+01   5.3133E+00  -1.7320E-01   9.2755E-01  -1.8479E-01
   3.1000E+01   5.3407E+00  -6.8308E-02   4.7095E-01  -5.8609E-01
   3.2000E+01   5.3640E+00  -1.8863E-02   1.7563E-01  -8.4564E-01
   3.3000E+01   5.3846E+00   2.0540E-02  -2.8295E-01  -1.2487E+00
   3.4000E+01   5.3937E+00   1.6654E-02  -3.3913E-01  -1.2981E+00
   3.5000E+01   5.3937E+00   1.9362E-02  -5.5530E-01  -1.4880E+00
   3.6000E+01   5.3933E+00   2.8115E-02  -1.3366E+00  -2.1747E+00
   3.7000E+01   5.3922E+00   3.8378E-02  -4.9183E+00  -5.3226E+00
   3.8000E+01   5.3901E+00   4.7613E-02   1.0980E+01   8.6503E+00
   3.9000E+01   5.3873E+00   5.7588E-02   3.6283E+00   2.1888E+00
   4.0000E+01   5.3839E+00   6.7351E-02   2.5128E+00   1.2085E+00
   4.1000E+01   5.3800E+00   7.6829E-02   2.0681E+00   8.1762E-01
   4.2000E+01   5.3755E+00   8.5853E-02   1.8291E+00   6.0759E-01
   4.3000E+01   5.3705E+00   9.4515E-02   1.6820E+00   4.7826E-01
   4.4000E+01   5.3649E+00   1.0275E-01   1.5821E+00   3.9050E-01
   4.5000E+01   5.3589E+00   1.1058E-01   1.5101E+00   3.2719E-01
   4.6000E+01   5.3525E+00   1.1801E-01   1.4558E+00   2.7945E-01
   4.7000E+01   5.3456E+00   1.2506E-01   1.4134E+00   2.4223E-01
   4.8000E+01   5.3384E+00   1.3167E-01   1.3787E+00   2.1168E-01
   4.9000E+01   5.3307E+00   1.3802E-01   1.3510E+00   1.8741E-01
   5.0000E+01   5.3227E+00   1.4405E-01   1.3281E+00   1.6726E-01
   5.5000E+01   5.2783E+00   1.7002E-01   1.2552E+00   1.0314E-01
   6.0000E+01   5.2279E+00   1.9043E-01   1.2173E+00   6.9856E-02
   6.5000E+01   5.1730E+00   2.0678E-01   1.1951E+00   5.0320E-02
   7.0000E+01   5.1150E+00   2.2015E-01   1.1811E+00   3.8007E-02
   7.5000E+01   5.0546E+00   2.3136E-01   1.1718E+00   2.9886E-02
   8.0000E+01   4.9925E+00   2.4098E-01   1.1655E+00   2.4359E-02
   8.5000E+01   4.9291E+00   2.4930E-01   1.1605E+00   1.9905E-02
   9.0000E+01   4.8648E+00   2.5691E-01   1.1574E+00   1.7181E-02
   9.5000E+01   4.7999E+00   2.6391E-01   1.1551E+00   1.5215E-02
   1.0000E+02   4.7345E+00   2.7046E-01   1.1535E+00   1.3773E-02
